Genetic Algorithm Statistics
============================
Population Size: 100
Number of Generations: 73069
Crossover Rate: 0.70
Mutation Rate: 0.40
Total Time (seconds): 12.15
Final Best Fitness: 0

Best Fitness per Generation:
Generation 420: 70370
Generation 421: 70370
Generation 422: 70370
Generation 423: 70370
Generation 424: 70370
Generation 425: 70370
Generation 426: 60480
Generation 427: 60480
Generation 428: 60480
Generation 429: 60480
Generation 430: 60480
Generation 431: 60480
Generation 432: 60480
Generation 433: 60480
Generation 434: 60480
Generation 435: 60480
Generation 436: 60480
Generation 437: 60480
Generation 438: 60480
Generation 439: 60480
Generation 440: 60480
Generation 441: 60480
Generation 442: 60480
Generation 443: 60480
Generation 444: 60480
Generation 445: 60480
Generation 446: 60480
Generation 447: 60480
Generation 448: 60480
Generation 449: 60480
Generation 450: 60480
Generation 451: 60480
Generation 452: 60480
Generation 453: 60480
Generation 454: 60480
Generation 455: 60480
Generation 456: 60480
Generation 457: 60480
Generation 458: 60480
Generation 459: 60480
Generation 460: 60480
Generation 461: 60480
Generation 462: 60480
Generation 463: 60480
Generation 464: 60480
Generation 465: 60480
Generation 466: 60480
Generation 467: 60480
Generation 468: 60480
Generation 469: 60480
Generation 470: 60480
Generation 471: 60480
Generation 472: 60480
Generation 473: 60480
Generation 474: 60480
Generation 475: 60480
Generation 476: 60480
Generation 477: 60480
Generation 478: 60480
Generation 479: 60480
Generation 480: 60480
Generation 481: 60480
Generation 482: 60480
Generation 483: 60480
Generation 484: 60480
Generation 485: 60480
Generation 486: 60480
Generation 487: 60480
Generation 488: 60480
Generation 489: 60480
Generation 490: 60480
Generation 491: 60480
Generation 492: 60480
Generation 493: 60480
Generation 494: 60480
Generation 495: 60480
Generation 496: 60480
Generation 497: 60480
Generation 498: 60480
Generation 499: 60480
Generation 500: 60480
Generation 501: 60480
Generation 502: 60480
Generation 503: 60480
Generation 504: 60480
Generation 505: 60480
Generation 506: 60480
Generation 507: 60480
Generation 508: 60480
Generation 509: 60480
Generation 510: 60480
Generation 511: 60480
Generation 512: 60480
Generation 513: 60480
Generation 514: 60480
Generation 515: 60330
Generation 516: 60330
Generation 517: 60330
Generation 518: 60330
Generation 519: 60330
Generation 520: 60330
Generation 521: 60330
Generation 522: 60330
Generation 523: 60330
Generation 524: 60330
Generation 525: 60330
Generation 526: 60330
Generation 527: 60330
Generation 528: 60330
Generation 529: 60330
Generation 530: 60330
Generation 531: 60330
Generation 532: 60330
Generation 533: 60330
Generation 534: 60330
Generation 535: 60330
Generation 536: 60330
Generation 537: 60330
Generation 538: 60330
Generation 539: 60330
Generation 540: 60330
Generation 541: 60330
Generation 542: 60330
Generation 543: 60330
Generation 544: 60330
Generation 545: 60330
Generation 546: 60330
Generation 547: 60330
Generation 548: 60330
Generation 549: 60330
Generation 550: 60330
Generation 551: 60330
Generation 552: 60330
Generation 553: 60330
Generation 554: 60330
Generation 555: 60330
Generation 556: 60330
Generation 557: 60330
Generation 558: 60330
Generation 559: 60330
Generation 560: 60330
Generation 561: 60330
Generation 562: 60330
Generation 563: 60330
Generation 564: 60330
Generation 565: 60330
Generation 566: 60330
Generation 567: 60330
Generation 568: 60330
Generation 569: 60330
Generation 570: 60330
Generation 571: 60330
Generation 572: 60330
Generation 573: 60330
Generation 574: 50480
Generation 575: 50480
Generation 576: 50480
Generation 577: 50480
Generation 578: 50480
Generation 579: 50480
Generation 580: 50480
Generation 581: 50480
Generation 582: 50480
Generation 583: 50480
Generation 584: 50480
Generation 585: 50480
Generation 586: 50480
Generation 587: 50480
Generation 588: 50480
Generation 589: 50480
Generation 590: 50480
Generation 591: 50480
Generation 592: 50480
Generation 593: 50480
Generation 594: 50480
Generation 595: 50480
Generation 596: 50480
Generation 597: 50480
Generation 598: 50480
Generation 599: 50480
Generation 600: 50480
Generation 601: 50480
Generation 602: 50480
Generation 603: 50480
Generation 604: 50480
Generation 605: 50480
Generation 606: 50480
Generation 607: 50480
Generation 608: 50480
Generation 609: 50480
Generation 610: 50480
Generation 611: 50480
Generation 612: 50480
Generation 613: 50480
Generation 614: 50480
Generation 615: 50480
Generation 616: 50480
Generation 617: 50410
Generation 618: 50410
Generation 619: 50410
Generation 620: 50410
Generation 621: 50410
Generation 622: 50410
Generation 623: 50410
Generation 624: 50410
Generation 625: 50410
Generation 626: 50410
Generation 627: 50410
Generation 628: 50410
Generation 629: 50410
Generation 630: 50410
Generation 631: 50410
Generation 632: 50410
Generation 633: 50410
Generation 634: 40300
Generation 635: 40300
Generation 636: 40300
Generation 637: 40300
Generation 638: 40300
Generation 639: 40300
Generation 640: 40300
Generation 641: 40300
Generation 642: 40300
Generation 643: 40300
Generation 644: 40300
Generation 645: 40300
Generation 646: 40300
Generation 647: 40300
Generation 648: 40300
Generation 649: 40300
Generation 650: 40300
Generation 651: 40300
Generation 652: 40300
Generation 653: 40300
Generation 654: 30300
Generation 655: 30300
Generation 656: 30300
Generation 657: 30300
Generation 658: 30300
Generation 659: 30300
Generation 660: 30300
Generation 661: 30300
Generation 662: 30300
Generation 663: 30300
Generation 664: 30300
Generation 665: 30300
Generation 666: 30300
Generation 667: 30300
Generation 668: 30300
Generation 669: 30300
Generation 670: 30300
Generation 671: 30300
Generation 672: 30300
Generation 673: 30300
Generation 674: 30300
Generation 675: 30300
Generation 676: 30300
Generation 677: 30300
Generation 678: 30300
Generation 679: 30300
Generation 680: 30300
Generation 681: 30300
Generation 682: 30300
Generation 683: 30300
Generation 684: 30300
Generation 685: 30300
Generation 686: 30300
Generation 687: 30300
Generation 688: 30300
Generation 689: 30300
Generation 690: 30300
Generation 691: 30300
Generation 692: 30300
Generation 693: 30300
Generation 694: 30300
Generation 695: 30300
Generation 696: 30300
Generation 697: 30300
Generation 698: 30300
Generation 699: 30300
Generation 700: 30300
Generation 701: 30300
Generation 702: 30300
Generation 703: 30300
Generation 704: 30300
Generation 705: 30300
Generation 706: 30300
Generation 707: 30300
Generation 708: 30300
Generation 709: 30300
Generation 710: 30300
Generation 711: 30300
Generation 712: 30300
Generation 713: 30300
Generation 714: 30300
Generation 715: 30300
Generation 716: 30300
Generation 717: 30300
Generation 718: 30300
Generation 719: 30300
Generation 720: 30300
Generation 721: 30300
Generation 722: 30300
Generation 723: 30300
Generation 724: 30300
Generation 725: 30300
Generation 726: 30300
Generation 727: 30300
Generation 728: 30300
Generation 729: 30300
Generation 730: 30300
Generation 731: 30300
Generation 732: 30300
Generation 733: 30300
Generation 734: 30300
Generation 735: 30300
Generation 736: 30300
Generation 737: 30300
Generation 738: 30300
Generation 739: 30300
Generation 740: 30300
Generation 741: 30300
Generation 742: 30300
Generation 743: 30300
Generation 744: 30300
Generation 745: 30300
Generation 746: 30300
Generation 747: 30300
Generation 748: 30300
Generation 749: 30300
Generation 750: 30300
Generation 751: 30300
Generation 752: 30300
Generation 753: 30300
Generation 754: 30300
Generation 755: 30300
Generation 756: 30300
Generation 757: 30300
Generation 758: 30300
Generation 759: 30300
Generation 760: 30300
Generation 761: 30300
Generation 762: 30300
Generation 763: 30300
Generation 764: 30300
Generation 765: 30300
Generation 766: 30300
Generation 767: 30300
Generation 768: 30300
Generation 769: 30300
Generation 770: 30300
Generation 771: 30300
Generation 772: 30300
Generation 773: 30300
Generation 774: 30300
Generation 775: 30300
Generation 776: 30300
Generation 777: 30300
Generation 778: 30300
Generation 779: 30300
Generation 780: 30300
Generation 781: 30300
Generation 782: 30300
Generation 783: 30300
Generation 784: 30300
Generation 785: 30300
Generation 786: 30300
Generation 787: 30300
Generation 788: 30300
Generation 789: 30300
Generation 790: 30300
Generation 791: 30300
Generation 792: 30300
Generation 793: 30300
Generation 794: 30300
Generation 795: 30300
Generation 796: 30300
Generation 797: 30300
Generation 798: 30300
Generation 799: 30300
Generation 800: 30300
Generation 801: 30300
Generation 802: 30300
Generation 803: 30300
Generation 804: 30300
Generation 805: 30300
Generation 806: 30300
Generation 807: 30300
Generation 808: 30300
Generation 809: 30300
Generation 810: 30300
Generation 811: 30300
Generation 812: 30300
Generation 813: 30300
Generation 814: 30300
Generation 815: 30300
Generation 816: 30300
Generation 817: 30300
Generation 818: 30300
Generation 819: 30300
Generation 820: 30300
Generation 821: 30300
Generation 822: 30300
Generation 823: 30300
Generation 824: 30300
Generation 825: 30300
Generation 826: 30300
Generation 827: 30300
Generation 828: 30300
Generation 829: 30300
Generation 830: 30300
Generation 831: 30300
Generation 832: 30300
Generation 833: 30300
Generation 834: 30300
Generation 835: 30300
Generation 836: 30300
Generation 837: 30300
Generation 838: 30300
Generation 839: 30300
Generation 840: 30300
Generation 841: 30300
Generation 842: 30300
Generation 843: 30300
Generation 844: 30300
Generation 845: 30300
Generation 846: 30300
Generation 847: 30300
Generation 848: 30300
Generation 849: 30300
Generation 850: 30300
Generation 851: 30300
Generation 852: 30300
Generation 853: 30300
Generation 854: 30300
Generation 855: 30300
Generation 856: 30300
Generation 857: 30300
Generation 858: 30300
Generation 859: 30300
Generation 860: 30300
Generation 861: 30300
Generation 862: 30300
Generation 863: 30300
Generation 864: 30300
Generation 865: 30300
Generation 866: 30300
Generation 867: 30300
Generation 868: 30300
Generation 869: 30300
Generation 870: 30300
Generation 871: 30300
Generation 872: 30300
Generation 873: 30300
Generation 874: 30300
Generation 875: 30300
Generation 876: 30300
Generation 877: 30300
Generation 878: 30300
Generation 879: 30300
Generation 880: 30300
Generation 881: 30300
Generation 882: 30300
Generation 883: 30300
Generation 884: 30300
Generation 885: 30300
Generation 886: 30300
Generation 887: 30300
Generation 888: 30300
Generation 889: 30300
Generation 890: 30300
Generation 891: 30300
Generation 892: 30300
Generation 893: 30300
Generation 894: 30300
Generation 895: 30300
Generation 896: 30300
Generation 897: 30300
Generation 898: 30300
Generation 899: 30300
Generation 900: 30300
Generation 901: 30300
Generation 902: 30300
Generation 903: 30300
Generation 904: 30300
Generation 905: 30300
Generation 906: 30300
Generation 907: 30270
Generation 908: 30270
Generation 909: 30270
Generation 910: 30270
Generation 911: 30270
Generation 912: 30270
Generation 913: 30270
Generation 914: 30270
Generation 915: 30270
Generation 916: 30270
Generation 917: 30270
Generation 918: 30270
Generation 919: 30270
Generation 920: 30270
Generation 921: 30270
Generation 922: 30270
Generation 923: 30270
Generation 924: 30270
Generation 925: 30270
Generation 926: 30270
Generation 927: 30270
Generation 928: 30270
Generation 929: 30270
Generation 930: 30270
Generation 931: 30270
Generation 932: 30270
Generation 933: 30270
Generation 934: 30270
Generation 935: 30270
Generation 936: 30270
Generation 937: 30270
Generation 938: 30270
Generation 939: 30270
Generation 940: 30270
Generation 941: 30270
Generation 942: 30270
Generation 943: 30270
Generation 944: 30270
Generation 945: 30270
Generation 946: 30270
Generation 947: 30270
Generation 948: 30270
Generation 949: 30270
Generation 950: 30270
Generation 951: 30270
Generation 952: 30270
Generation 953: 30270
Generation 954: 30270
Generation 955: 30270
Generation 956: 30270
Generation 957: 30270
Generation 958: 30270
Generation 959: 30270
Generation 960: 30270
Generation 961: 30270
Generation 962: 30270
Generation 963: 30270
Generation 964: 30270
Generation 965: 30270
Generation 966: 30270
Generation 967: 30270
Generation 968: 30270
Generation 969: 30270
Generation 970: 30270
Generation 971: 30270
Generation 972: 30270
Generation 973: 30270
Generation 974: 30270
Generation 975: 30270
Generation 976: 30270
Generation 977: 30270
Generation 978: 30270
Generation 979: 10260
Generation 980: 10260
Generation 981: 10260
Generation 982: 10260
Generation 983: 10260
Generation 984: 10260
Generation 985: 10260
Generation 986: 10260
Generation 987: 10260
Generation 988: 10260
Generation 989: 10260
Generation 990: 10260
Generation 991: 10260
Generation 992: 10260
Generation 993: 10260
Generation 994: 10260
Generation 995: 10260
Generation 996: 10260
Generation 997: 10260
Generation 998: 10260
Generation 999: 10260
Generation 1000: 10260
Generation 1001: 10260
Generation 1002: 10260
Generation 1003: 10260
Generation 1004: 10260
Generation 1005: 10260
Generation 1006: 10260
Generation 1007: 10260
Generation 1008: 10260
Generation 1009: 10260
Generation 1010: 10260
Generation 1011: 10260
Generation 1012: 10260
Generation 1013: 10260
Generation 1014: 10260
Generation 1015: 10260
Generation 1016: 10260
Generation 1017: 10260
Generation 1018: 10260
Generation 1019: 10260
Generation 1020: 10260
Generation 1021: 10260
Generation 1022: 10260
Generation 1023: 10260
Generation 1024: 10260
Generation 1025: 10260
Generation 1026: 10260
Generation 1027: 10260
Generation 1028: 10260
Generation 1029: 10260
Generation 1030: 10260
Generation 1031: 10260
Generation 1032: 10260
Generation 1033: 10260
Generation 1034: 10260
